PDB ID,PubMed ID
"100D","7816639"
"101D","7711020"
"101M",""
"102D","7608897"
"102L","8429913"
"102M",""
"103D","7966337"
"103L","8429913"
"103M",""
"104D","7857947"
"104L","8429913"
"104M",""
"105D","7743125"
"105M",""
"106D","7743125"
"106M",""
"107D","7731041"
"107L","8503008"
"107M",""
"108D","7612596"
"108L","8503008"
"108M",""
"109D","7478996"
"109L","8503008"
"109M",""
"10GS","9398518"
"10MH","9925782"
"110D","15299505"
"110L","8503008"
"110M",""
"111D","2754734"
"111L","8503008"
"111M",""
"112D","3458205"
"112L","8503008"
"112M",""
"113D","3611072"
"113L","8503008"
"114D","3671069"
"114L","8503008"
"115D","3271041"
"115L","8503008"
"116D","1404387"
"117D","1480485"
"117E","9878371"
"118D","1463751"
"118L","8218201"
"119D","8230199"
"119L","8218201"
"11AS","9437423"
"11BA","10082366"
"11BG","10543951"
"11GS","9426214"
"120L","8218201"
"121D","8395202"
"121P",""
"122D","15299506"
"122L","8218201"
"123D","15299506"
"123L","8218201"
"124D","8411159"
"125L","8218201"
"126D","8464909"
"126L","8218201"
"127D","1371249"
"127L","8218201"
"128D","1371249"
"128L","8218201"
"129D","1371249"
"129L","8298466"
"12AS","9437423"
"12CA","1910042"
"12E8","10089402"
"12GS","10452896"
"130D","1371249"
"130L","8298466"
"131D","8110738"
"131L","8298466"
"132D","1457407"
"132L","8373783"
"133D","8284207"
"133L","8105095"
"134D","8069626"
"134L","8105095"
"135D","8069626"
"135L","15299509"
"136D","8069626"
"137D","8218212"
"137L","8503008"
"138D","8218212"
"138L","8177878"
"139D","8263919"
"139L","8177878"
"13GS","10452896"
"13PK","9000079"
"140D","8257678"
"140L","8259514"
"141D","8257678"
"141L","8259514"
"142D","8257678"
"142L","8259514"
"143D","8081740"
"143L","8259514"
"144D","8373768"
"144L","8259514"
"145D","8257675"
"145L","8259514"
"146D","8329387"
"146L","8259514"
"147L","8259514"
"148D","8107090"
"148L","8266098"
"149D","8075980"
"149L","7920248"
"14GS","9665696"
"150D","8161534"
"150L","7920248"
"151D","8142363"
"151L","7920248"
"152D","8142363"
"152L","7920248"
"153D","8142345"
"153L","7823320"
"154D","8142381"
"154L","7823320"
"155C","180013"
"155L","7869383"
"156D","8069635"
"156L","7869383"
"157D","7922026"
"157L","7869383"
"158D","8364037"
"158L","7869383"
"159D","7656035"
"159L","7869383"
"15C8",""
"160D","8510155"
"160L","7869383"
"161D","7508984"
"161L","7869383"
"162L","7869383"
"163L","7869383"
"164L","7869383"
"165D","7514296"
"165L","7869383"
"166D","7813486"
"166L","7869383"
"167D","8196049"
"167L","7616572"
"168D","9383369"
"168L","7616572"
"169D","8064857"
"169L","7616572"
"16GS","9665696"
"16PK","9642090"
"16VP","10398682"
"170D","7918360"
"170L","7616572"
"171D","7918360"
"171L","7616572"
"172D",""
"172L","7616572"
"173D",""
"173L","7616572"
"174L","7616572"
"175D","8064859"
"175L","7616572"
"176D","7519361"
"176L","7616572"
"177D","8057381"
"177L","7616572"
"178D","8068665"
"178L","7616572"
"179D","7932707"
"17GS",""
"17RA","9753434"
"180D","7760333"
"180L","7616572"
"181D","7760333"
"181L","7612599"
"182D","7819233"
"182L","7612599"
"183D","7846041"
"183L","7612599"
"184D","7613864"
"184L","7612599"
"185D","7918461"
"185L","7612599"
"186D","7704525"
"186L","7612599"
"187D","7752232"
"187L","7612599"
"188D","7752232"
"188L","7612599"
"189D","7752232"
"189L","8771182"
